2026-03-24 11:38:05.471 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=14 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=3710.64 uplink_gap_ms=0.17
2026-03-24 11:38:05.471 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=15 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=3630.64 uplink_gap_ms=0.17
2026-03-24 11:38:05.472 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=16 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=3551.64 uplink_gap_ms=0.20
2026-03-24 11:38:05.472 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=17 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=3471.64 uplink_gap_ms=0.19
2026-03-24 11:38:05.472 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=18 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=3391.64 uplink_gap_ms=0.18
2026-03-24 11:38:05.472 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=19 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=3311.64 uplink_gap_ms=0.17
2026-03-24 11:38:05.472 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=20 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=3231.64 uplink_gap_ms=0.24
2026-03-24 11:38:05.473 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=21 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=3152.64 uplink_gap_ms=0.27
2026-03-24 11:38:05.473 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=22 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=3072.64 uplink_gap_ms=0.27
2026-03-24 11:38:05.473 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=23 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=2992.64 uplink_gap_ms=0.22
2026-03-24 11:38:05.473 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=24 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=2912.64 uplink_gap_ms=0.20
2026-03-24 11:38:05.473 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=25 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=2832.64 uplink_gap_ms=0.23
